"","lon","lat","entity"
"148",4.9245673,52.3763561,"Netherlands Antilles"
"149",165.618042,-20.904305,"New Caledonia"
"150",174.885971,-40.900557,"New Zealand"
"151",-85.207229,12.865416,"Nicaragua"
"152",8.081666,17.607789,"Niger"
"153",8.675277,9.081999,"Nigeria"
"154",-169.867233,-19.054445,"Niue"
"155",167.954712,-29.040835,"Norfolk Island"
"156",127.510093,40.339852,"North Korea"
"157",33.6577243,35.2480359,"Northern Cyprus"
"158",145.6739,15.0979,"Northern Mariana Islands"
"159",8.468946,60.472024,"Norway"
"160",55.975413,21.4735329,"Oman"
"161",69.345116,30.375321,"Pakistan"
"162",134.58252,7.51498,"Palau"
"163",35.233154,31.952162,"Palestine"
"164",-80.782127,8.537981,"Panama"
"165",143.95555,-6.314993,"Papua New Guinea"
"166",-58.443832,-23.442503,"Paraguay"
"167",-75.015152,-9.189967,"Peru"
"168",121.774017,12.879721,"Philippines"
"169",-128.3242376,-24.3767537,"Pitcairn"
"170",19.145136,51.919438,"Poland"
"171",-8.224454,39.399872,"Portugal"
"172",-66.590149,18.220833,"Puerto Rico"
"173",51.183884,25.354826,"Qatar"
"174",108.277199,14.058324,"Republic of Vietnam"
"175",55.536384,-21.115141,"Reunion"
"176",24.96676,45.943161,"Romania"
"177",105.318756,61.52401,"Russia"
"178",29.873888,-1.940278,"Rwanda"
"179",-62.833333,17.9,"Saint Barthélemy"
"180",-5.7089241,-15.9650104,"Saint Helena"
"181",-62.782998,17.357822,"Saint Kitts and Nevis"
"182",-60.978893,13.909444,"Saint Lucia"
"183",-63.052251,18.08255,"Saint Martin (French part)"
"184",-56.3159,46.8852,"Saint Pierre and Miquelon"
"185",-61.287228,12.984305,"Saint Vincent and the Grenadines"
"186",-172.104629,-13.759029,"Samoa"
"187",12.457777,43.94236,"San Marino"
"188",6.613081,0.18636,"Sao Tome and Principe"
"189",45.079162,23.885942,"Saudi Arabia"
"190",-14.452362,14.497401,"Senegal"
"191",21.005859,44.016521,"Serbia"
"192",21.005859,44.016521,"Serbia excluding Kosovo"
