"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4687374","4672425","4652232","4619506","4574065","4514456","4457777","4410949","4372170","4342926","4319807","4296116","4264992","4236272","4205535","4180315","4148280","4109166","4068092",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1967626","2003782","2034451","2060838","2085165","2122485","2166393","2219168","2252101","2272955","2281349","2281469","2279958","2280343","2283124","2286738","2293538","2299943","2300622",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160477","156113","153097","150406","149128","148119","147331","147263","147462","148674","150409","152739","157312","163396","168573","174154","175364","176373","178697",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2886585","2878123","2865674","2849573","2836068","2819794","2804828","2790347","2768968","2748051","2723164","2694376","2668682","2653971","2642892","2631390","2618182","2607591","2593325",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891847","885218","884961","883959","881606","885316","894761","904328","910617","922711","931498","936148","940803","949130","954857","961306","962350","959173","956433",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"847511","848663","850733","850251","846786","849323","857003","862161","865664","866194","866023","864713","861194","857970","860197","863463","870667","873798","873567",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2918850","2905836","2894935","2883270","2873125","2859793","2850778","2839574","2821004","2804929","2786430","2763820","2740151","2718128","2703305","2689671","2675025","2663231","2648911",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248065","248296","248690","248075","246228","241932","237348","233655","229798","225902","223485","220546","217541","214882","212488","210691","209001","206899","205202",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1010641","1016134","1020531","1023785","1029111","1036941","1050042","1064190","1074116","1079729","1079243","1075800","1076071","1077218","1082936","1091181","1097492","1103021","1105655",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202681","200795","198694","197326","196804","196476","197332","198847","199848","201204","203212","204022","205499","207765","209653","211155","213763","216151","217606",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1399685","1407578","1414857","1424861","1433343","1449326","1470166","1482747","1494354","1494687","1494690","1491410","1491756","1492118","1495089","1499226","1502872","1506196","1506219",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5906301","5980187","6060372","6132980","6208259","6290970","6446798","6565872","6675917","6792907","6877606","6933728","6991156","7053862","7142469","7240925","7316392","7365791","7398009",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721686","726819","733517","740483","751771","767888","789957","815496","837258","857853","874022","881982","888588","897446","903790","910592","920274","927441","932462",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147549","146040","144441","142718","141068","138933","136731","134695","132600","130450","128801","126996","124926","123114","121552","120090","118288","116981","115973",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1741420","1754549","1771247","1782254","1801958","1816270","1826368","1834386","1838361","1845132","1854870","1857143","1861872","1863735","1864659","1867071","1869112","1870944","1869737",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1516361","1517527","1517655","1514877","1520751","1523890","1536926","1549582","1560302","1574403","1582791","1586256","1588536","1593442","1601850","1614360","1632927","1651817","1663283",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401062","395307","393569","392460","391856","390431","390637","390661","390210","389036","387242","385564","384472","382451","380798","378231","374348","369122","364160",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1370440","1367593","1365315","1358505","1354643","1349866","1348785","1348901","1345573","1342411","1336983","1326328","1316739","1308805","1302117","1295144","1288339","1283017","1276101",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128774","126212","125495","124182","123974","124022","125525","128760","131511","134960","135486","135370","136382","137669","138364","139552","138773","136247","134775",,
"        Working-age (16-64) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146228559","148208039","149865297","151358359","152791366","154216286","155758958","157278129","158587206","159657205","160886927","162606993","164462097","166375881","168320633","170364628","172662963","175173297","177751976","180347807","182825698","185144529","187442080","189443100","191685314","193890786","196292581","198359386","200089979","201800866","203411942","204880180","205444520","206149020","206928134","207737412","208562839","209153354","209360575","209434955",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2800040","2895023","2908910","2933214","2955224","2989399","3036319","3066205","3097923","3122644","3112084","3118882","3113436","3112690","3107774","3103217","3098320","3092391","3083964",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403926","430777","439012","445027","454904","461942","468998","473703","479192","484160","469411","477098","479032","479110","477265","475135","474885","470170","466426",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3049731","3351510","3439412","3517905","3617498","3746466","3874310","3961529","4030845","4065865","4051648","4096849","4129523","4161894","4210815","4260592","4319819","4373761","4438476",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1657862","1716976","1731820","1748456","1767274","1790723","1820861","1836221","1852051","1862008","1861795","1873977","1870837","1869279","1867709","1869631","1872276","1873251","1872887",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21451895","22541143","22873268","23187306","23462760","23718604","23930949","24188907","24479503","24739148","24732874","24955479","25102943","25256268","25426990","25568550","25678816","25736106","25751913",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2793209","3006486","3055192","3081717","3118123","3155851","3220752","3271504","3327321","3376817","3367422","3413525","3444587","3482821","3526032","3588338","3645080","3685345","3728482",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2150642","2206293","2232320","2256860","2270188","2288437","2306827","2322988","2340965","2350955","2349477","2359532","2355676","2352149","2348984","2340247","2328803","2317989","2308310",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"483492","519301","527985","537179","546729","557294","568132","576042","583760","586813","584634","588990","589591","591349","594357","597026","598666","599853","602282",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400189","401558","401668","400152","401738","404126","410548","416853","423678","435270","443190","453711","462051","470666","476463","482940","489058","493475","496109",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9539837","10252280","10515992","10766423","11089699","11415041","11659954","11836332","11949682","12005976","11980205","12145800","12213590","12302126","12437405","12616193","12821403","12991041","13132353",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5253211","5612477","5702886","5778720","5885357","5991565","6156479","6271329","6372966","6445288","6404469","6449401","6488336","6507248","6545016","6599929","6672122","6729670","6781262",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"756387","803503","814991","823991","841037","857586","871208","874662","886887","894151","858630","864222","865034","864487","861555","859239","858171","849740","841761",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"778739","844938","859805","875767","895646","919323","946012","966452","982481","991726","987031","994222","998049","1003809","1011871","1021086","1038787","1058102","1076553",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7937046","8102919","8148428","8190441","8233087","8268913","8322594","8383617","8427935","8461881","8438123","8470384","8451820","8441019","8415327","8371142","8316824","8262394","8197318",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3852326","3971586","3998019","4033907","4060747","4096956","4140966","4173308","4202132","4219004","4220714","4240393","4237393","4244749","4247052","4242253","4244814","4245703","4247282",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1831173","1855044","1862360","1872817","1884393","1895395","1911726","1924376","1934897","1944030","1950559","1961538","1961555","1967173","1971298","1971690","1969737","1967671","1965643",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1686858","1718694","1732772","1744074","1756458","1767021","1784369","1796370","1812347","1824806","1813448","1820190","1820883","1818835","1819669","1819458","1817524","1808283","1799342",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2590241","2682032","2701427","2723413","2746327","2774129","2798170","2822009","2839453","2852715","2839399","2850562","2843005","2846564","2839393","2837119","2834562","2831772","2826432",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2841873","2900519","2927097","2952143","2981491","3007276","2820521","2895393","2932827","2969615","2970797","2994803","2993207","2997764","2998770","2999959","2994457","2973552","2950189",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"801220","839426","850377","861234","868986","875168","881963","884856","887754","884840","874764","875665","868194","862460","858814","852778","848822","845395","841110",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3391664","3556050","3609854","3657032","3699875","3743069","3781183","3809603","3836282","3864462","3858478","3890776","3904368","3911855","3913209","3915096","3901744","3898254","3889212",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4116267","4195245","4225886","4244491","4252509","4264797","4291251","4324438","4358081","4394174","4409909","4446971","4465419","4488692","4512863","4524375","4533536","4546403","4557479",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6280525","6466922","6500973","6536391","6560003","6571875","6587893","6578959","6545501","6506921","6462782","6470750","6453483","6444197","6434504","6414678","6403256","6391335","6370884",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3111511","3249017","3286713","3320256","3349736","3378637","3417825","3448028","3473273","3488516","3485147","3506730","3511592","3521768","3530401","3534985","3543424","3553256","3560324",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1784269","1829836","1839637","1850207","1866388","1880867","1882248","1899776","1913454","1919306","1906760","1910994","1904576","1904170","1899628","1892019","1887874","1884054","1873195",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3505309","3624445","3660022","3694940","3729485","3767796","3813113","3845928","3870253","3891367","3876835","3886443","3877308","3872850","3870708","3869989","3864539","3862168","3853388",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"556281","588086","594010","601765","611317","619531","630016","637612","644633","647337","642656","645213","644784","647260","648235","649307","651308","654848","655982",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1070752","1093333","1102350","1112125","1121505","1132326","1142028","1149408","1157143","1166813","1166228","1173273","1176669","1180274","1184263","1186425","1190414","1192103","1193949",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1230200","1396337","1446281","1497427","1563962","1621656","1686509","1739799","1774178","1790049","1775197","1777476","1789820","1801440","1819897","1844255","1870603","1899580","1934543",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"785758","830491","843833","855053","866260","873730","885021","889525","892728","891635","886678","888380","887431","884437","885529","883697","883929","884365","883873",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5374578","5497888","5549706","5592255","5625638","5657595","5689734","5719781","5752487","5779913","5787656","5806830","5794243","5788696","5777575","5765911","5751464","5743322","5736147",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1100318","1174982","1195440","1215961","1237082","1259603","1281522","1298935","1309702","1323334","1320090","1326956","1323412","1320231","1311879","1306384","1302249","1296442","1291056",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12207191","12472670","12546817","12611362","12649601","12672683","12712012","12792859","12874864","12947913","12959502","13029226","13019712","13017025","12987058","12937483","12874521","12786352","12698174",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5086351","5445571","5524197","5583083","5677139","5782963","5941001","6060611","6186802","6264177","6198286","6252021","6270650","6303748","6339444","6388821","6451302","6512640","6563141",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404861","408782","410985","413790","420498","422234","426736","429377","433254","437904","436386","443810","452197","465340","474500","483166","479400","475628","474859",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7179786","7327277","7364281","7403009","7426836","7455261","7490618","7513189","7524886","7524972","7505849","7514719","7478437","7470449","7458759","7443194","7427145","7415028","7396314",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2163497","2231216","2252255","2266607","2285403","2302359","2337282","2360404","2381774","2408730","2396883","2413215","2422430","2435861","2445722","2459970","2463085","2456495","2452755",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2147204","2279431","2319930","2348582","2367761","2403061","2448342","2484068","2513739","2536175","2531400","2552523","2555405","2558062","2571080","2594775","2636625","2661235","2674412",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7741025","7812008","7870563","7936620","7990318","8056009","8138376","8198991","8246767","8286817","8300314","8335767","8310310","8287491","8265085","8231935","8196203","8160620","8127869",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"677331","684076","693909","700682","707207","705479","707667","706037","706929","706947","702754","702561","701107","699648","698989","697428","696019","693228","690286",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2494840","2676302","2709135","2742165","2790612","2835188","2902686","2955277","3009834","3040311","3002391","3014646","3020886","3037388","3057796","3087631","3117116","3142550","3162692",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"461790","474177","478156","482988","489454","494100","500357","505829","510554","514954","515042","519971","525091","528467","529395","529310","531510","534640","536739",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3606094","3794547","3827514","3864626","3911068","3970765","4039644","4095130","4136523","4168493","4155784","4178806","4186332","4197127","4209282","4227454","4251297","4281513","4305523",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13091018","13921772","14198444","14443749","14701795","14973414","15377673","15675065","15989188","16297213","16372039","16650897","16879978","17113699","17400257","17708409","17980503","18202412","18409374",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1357834","1449303","1479583","1502705","1528769","1565561","1606721","1646678","1684481","1716571","1730068","1755246","1776681","1803346","1826517","1855061","1895738","1937005","1974854",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"388961","406722","411249","414746","417848","420527","423595","424306","424653","424203","420761","421990","418256","415940","412795","410685","406944","404658","402815",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4577154","4842027","4908706","4968423","5047397","5126796","5201791","5257050","5313503","5367017","5284525","5332989","5360399","5376883","5393321","5405207","5405465","5421782","5427835",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3739176","3979732","4042603","4089156","4148969","4215432","4306445","4366961","4437074","4502792","4469439","4505396","4531270","4550512","4590667","4646277","4716344","4787507","4836861",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1157873","1176842","1182616","1189491","1191777","1196244","1203476","1207378","1210473","1213736","1212371","1213037","1203685","1193946","1182008","1169309","1154279","1137558","1123265",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3388197","3500334","3542099","3577812","3610846","3642450","3672128","3698967","3719217","3732574","3727489","3738759","3731442","3730769","3726380","3718263","3710239","3703445","3697736",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"312396","327346","332508","336177","340380","344042","350339","358365","365060","373382","370134","370824","375191","376711","373839","372649","368896","362510","359028",,
"        Elderly (65+) (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25707448","26220666","26787304","27360434","27877238","28415906","29007328","29625949","30123404","30681589","31247279","31811624","32355994","32901811","33330803","33769304","34143049","34401561","34619159","34797841","35069568","35290291","35522207","35863529","36203319","36649798","37164107","37825711","38777621","39623175","40478224","41350015","43130363","44629455","46157016","47650770","49202071","50753404","52369339","54058263",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
