"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"        White (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194713000","196634941","198037360","199420087","200707727","202031343","203429819","204770146","206129014","207539903","199827064","211606011","213945622","216187073","218304774","220384783","222420050","224553464","226648119","228687790","211460626","230049196","231446915","232717191","234120447","235491577","236954818","238378087","239783014","241034399","242235328","243292145","244354778","245308889","246350641","247382690","248413058","249270773","249961025","250522190",
"        Black or African American (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26683000","27133356","27508316","27867416","28212477","28568658","28941763","29324578","29722999","30143449","29930524","31290743","31979982","32634735","33258981","33847306","34415478","35007679","35594140","36173121","34658190","36263029","36684650","37066096","37510582","37961688","38443048","38935533","39429414","39902270","40355385","40783547","41225339","41651863","42090120","42532491","42970183","43374142","43732024","44075086",
"        Asian (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3729000","4213992","4581276","4908787","5249129","5606129","5978210","6343072","6723845","7134492","7226986","7957219","8386444","8814728","9200988","9604552","10023883","10459307","10885809","11346496","10641833","11669880","12156530","12625915","13090057","13576467","14066685","14547694","15030973","15491716","15261408","15721072","16195092","16679752","17203569","17752744","18279949","18764237","19134105","19504862",
"        American Indian and Alaska Native (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1420000","1483027","1537259","1595947","1655707","1717908","1783256","1851250","1923182","2001351","2015143","2126968","2202176","2282052","2361078","2441752","2534873","2626475","2726036","2832761","2475956","2769731","2857113","2947575","3044517","3147772","3258666","3377213","3504878","3636766","3752274","3801451","3853222","3902766","3953354","4004358","4054740","4101605","4145811","4188092",
"        Two or more races (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9710156",,,,,,,,,,"22185301","4217119","4479985","4751156","5039695","5339095","5656695","5992680","6345687","6706378","7039225","7266443","7495899","7728870","7968051","8212721","8457567","8694466","8920749","9142356",
"    Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Northeast (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49183045","49269574","49333784","49536746","49718187","49868586","50071307","50301685","50583925","50756901","50916548","51166980","51447656","51777957","52036206","52278383","52513334","52745365","53022824","53343775","53666295","53915522","54143915","54334453","54423533","54451230","54522659","54653362","54875926","55133101","55380764","55608318","55782661","55912775","56021339","56052790","56063777","56083383","56084543","56002934","55849869"
"        Midwest (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58901238","58912038","58784164","58691281","58775281","58819680","58847704","59017675","59254030","59467754","59788707","60339238","60928804","61484354","61970726","62473250","62944737","63344954","63715930","64100061","64491431","64776531","65018293","65276954","65532305","65751872","66028555","66293689","66523935","66748437","66975328","67164092","67348275","67576524","67765576","67885682","68018175","68160342","68263019","68340091","68316744"
"        South (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75721008","76964608","78302445","79449355","80417379","81408836","82427783","83207732","83890480","84700107","85796360","87225702","88704251","90218014","91749057","93249180","94717153","96245085","97722335","99164460","100565549","101849575","103150787","104380188","105883977","107479771","109076933","110688742","112184930","113548615","114869421","116019483","117264196","118397213","119666248","121049223","122419547","123611036","124649156","125686544","126662754"
"        West (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43419428","44319388","45244103","46114521","46913936","47826630","48786047","49761931","50770401","51894357","53121199","54249021","55433513","56438263","57369832","58277580","59219060","60311521","61393015","62431872","63439136","64427327","65312198","66116338","66965483","67833726","68751765","69595414","70509175","71341376","72101630","72791588","73482530","74173435","74933166","75751299","76570256","77267367","77841481","78300384","78654756"
